Query,Response
How much does Button cost to use?,"Button is used in ecommerce to improve mobile shopping conversion, especially when traffic comes from affiliates, creators, publishers, ads, or partner links.

For ecommerce brands, Button mainly helps with:

1. Mobile deep linking
Button routes shoppers to the best destination: the brand’s app if installed, the app store if not, or a mobile web checkout path. The goal is to reduce drop-off after someone taps a shopping link. 
Button
+1

2. Affiliate and creator commerce optimization
Brands can use Button to make affiliate, influencer, and publisher traffic convert better on mobile. Button describes its platform as using AI and mobile-optimized shopping experiences to drive profitable growth. 
Button
+1

3. Increasing app installs and app sales
For ecommerce companies with apps, Button helps turn partner traffic into app opens, installs, and purchases. Its case studies highlight use cases like Sam’s Club increasing mobile affiliate revenue and Uber routing users into the app to improve affiliate performance. 
Button
+1

4. Better attribution and performance measurement
Button positions itself as an alternative or complement to traditional tracking platforms by using identity, deep linking, and machine learning to improve mobile marketing and ad performance. 
Button
+1

5. Publisher and creator monetization
Publishers and creators can use Button-powered links to send audiences into higher-converting shopping journeys and earn affiliate or commerce revenue. Button’s customers include creators, publishers, and large ecommerce companies focused on affiliate and creator marketing. 
PR Newswire

In plain English: Button is used to make mobile ecommerce links work better. When someone taps a product, affiliate, creator, or ad link, Button helps send that shopper to the path most likely to convert, then helps brands measure and optimize the result.

Sources used:
https://www.usebutton.com/post/button-the-worlds-leading-mobile-experience-platform-surpasses-8b-in-commerce-driven

https://www.usebutton.com/

https://www.usebutton.com/category/case-studies

https://www.usebutton.com/old-home-2

https://www.usebutton.com/post/how-button-doubled-affiliate-revenue-for-uber

https://www.prnewswire.com/news-releases/large-retailer-wins-and-growth-in-the-creator-economy-drive-button-to-surpass-10-billion-in-mobile-commerce-driven-in-2023-302006644.html"
Does Button have pricing plans or enterprise pricing?,"Yes — Button appears to use sales-led / enterprise-style pricing rather than publishing standard pricing plans.

What I found:

Button’s public site does not show a pricing page or fixed plan tiers for its commerce optimization products.

The site repeatedly routes prospects to “Request a demo,” “Schedule a call,” or “Contact Us” rather than self-serve checkout. 
Button
+1

The contact form asks for company type, product interest, app status, and affiliate platform/network, which suggests pricing is likely customized by use case, customer type, traffic/volume, and product configuration. 
Button

Button lists multiple product areas, including Full Service Network, Dynamic Decisioning, Product Listing Ads, Button Intelligence, PostTap for Amazon, and CuratedBy, which further supports package-based or custom pricing. 
Button

So the practical answer is: Button has enterprise/custom pricing, but I could not find public pricing plans or published seat/monthly rates. You’d likely need to contact sales for a quote.

Sources used:
https://www.usebutton.com/

https://www.usebutton.com/full-service-network

https://www.usebutton.com/for-creators

https://www.usebutton.com/contact-us"
Is Button free to use?,"Button does not appear to be free to use in the sense of having a public self-serve free plan.

What I found:

Button’s site positions it as a platform for brands, retailers, and publishers, including affiliate/network and mobile commerce optimization products. 
Button
+1

I did not find public pricing tiers or a clearly advertised free plan on Button’s site.

Based on the available public pages, pricing likely requires contacting Button/sales rather than signing up for a free plan.

So the best answer is: No public free plan is listed; Button appears to use custom/enterprise-style pricing.

Sources used:
https://www.usebutton.com/full-service-network

https://www.usebutton.com/

https://www.usebutton.com/home-page"
Does Button charge a commission or subscription fee?,"Button does not publish a standard commission rate or subscription price on its public site. Its website pushes users to “Request a demo” / “Get started”, suggesting pricing is likely custom/enterprise rather than self-serve. 
Button

What I found:

Fee type	Public evidence
Subscription fee	No public plans listed. TrustRadius says Button has no listed pricing plans, and no free version or trial. 
TrustRadius

Commission / revenue share	Button’s docs and pages discuss commission rates, creator commissions, and affiliate revenue optimization, but I did not find a public statement of Button’s own take rate or commission fee. 
Button
+1

Best answer	You likely need to contact Button for custom pricing and to confirm whether they charge a SaaS/platform fee, a performance-based fee, or both.

Sources used:
https://www.usebutton.com/

https://www.usebutton.com/for-creators

https://www.trustradius.com/products/button/pricing

https://developer.usebutton.com/docs/publishers-getting-started"
Is Button worth it for ecommerce businesses?,"Button can be worth it for ecommerce businesses, but mainly for brands that already have meaningful mobile, app, affiliate, creator, or publisher-driven traffic. It is not a general ecommerce store builder or basic marketing tool.

Verdict

Worth considering if:

You sell at scale and care about mobile conversion, especially app-to-web or web-to-app journeys.

You already run, or plan to run, affiliate / creator / publisher commerce programs.

You have enough volume that improving post-click conversion and attribution can move revenue materially.

You want hands-on support for commerce media, deep linking, app installs, or affiliate optimization.

Button describes itself as a platform for brands to improve mobile marketing and ad performance using identity, deep linking, and machine learning. Its Full Service Network is positioned as a way for retailers and publishers to launch and optimize affiliate programs, with AI-powered routing toward higher-converting purchase journeys. 
Button
 
Button

Probably not worth it if:

You are a small ecommerce business still trying to get consistent traffic.

You do not have a mobile app or meaningful mobile commerce volume.

You mainly need email/SMS, Shopify apps, checkout optimization, or basic affiliate tracking.

You need transparent self-serve pricing before evaluating vendors; Button’s public pages emphasize demo/contact flows rather than publishing simple fixed plans. 
Button

Why it could be valuable

Button’s core value is reducing friction after a shopper clicks: better deep links, app routing, tracking, and conversion optimization. That matters because affiliate and creator traffic often underperforms when users land in the wrong place, lose attribution, or get pushed into lower-converting flows. Button claims large-scale commerce results, including surpassing $25B in all-time gross merchandise sales on the platform and 91% year-over-year growth in app-driven sales in 2025. 
Button

It also appears especially relevant to larger ecommerce companies with mobile apps and affiliate/creator programs. A PRNewswire release states Button’s customers include creators, publishers, and “large ecommerce companies with mobile apps” focused on affiliate and creator marketing. 
PR Newswire

Practical recommendation

For a mid-market or enterprise ecommerce brand, Button is worth evaluating if you can answer “yes” to at least two of these:

Question	Why it matters
Do we have a mobile app?	Button’s strongest claims center on app-driven commerce and deep linking.
Do we already spend on affiliate, creator, or publisher traffic?	Button optimizes that traffic rather than replacing demand generation.
Are we losing conversion between click and checkout?	Post-tap routing is where Button seems differentiated.
Is attribution quality a pain point?	Broken or messy tracking is a common reason to use a platform like this.
Is incremental revenue large enough to justify enterprise-style pricing?	Public materials suggest a demo-led sales motion, so ROI likely depends on scale.

For a small ecommerce business, I would usually prioritize lower-friction tools first: Shopify-native affiliate apps, Klaviyo/Omnisend for lifecycle marketing, Google/Meta/TikTok shopping integrations, and landing-page or checkout optimization. Button becomes more compelling once affiliate/creator traffic is already large enough that even a small lift in conversion or attribution creates meaningful revenue.

Bottom line

Button is worth it for ecommerce businesses with scale, mobile traffic, and affiliate/creator programs. It is likely overkill for early-stage stores that still need basic acquisition, retention, and conversion tools.

Sources used:
https://www.usebutton.com/

https://www.usebutton.com/full-service-network

https://www.usebutton.com/product-listing-ads

https://www.usebutton.com/post/button-surpasses-25-billion-in-all-time-commerce-on-the-platform-with-2025-proving-to-be-a-breakout-year-powered-by-the-creator-economy-and-continued-growth-of-commerce-media-and-affiliate-marketing

https://www.prnewswire.com/news-releases/large-retailer-wins-and-growth-in-the-creator-economy-drive-button-to-surpass-10-billion-in-mobile-commerce-driven-in-2023-302006644.html"
Is Button worth using for affiliate marketing?,"Yes, Button can be worth using for affiliate marketing, but mainly for brands, publishers, creator networks, and retailers with meaningful mobile commerce volume. It is less likely to be the best fit for a small affiliate program that just needs basic tracking, links, payouts, and a Shopify-style affiliate dashboard.

Button positions itself as a commerce optimization platform for affiliate, creator, publisher, and retail media traffic. Its strongest value proposition is not “run a simple affiliate program,” but improving what happens after the tap: deep linking users into apps or the best-converting destination, improving mobile attribution, and using AI/ML routing to increase conversions. Button says its platform has driven $100B+ in commerce, 14.4B shopping journeys, and measurable lifts such as 38% conversion lift and 42% sales-per-tap lift. 
Button

For affiliate marketing specifically, Button’s Full Service Network is described as a marketplace for creator and affiliate programs, helping retailers and publishers launch and optimize affiliate programs while improving mobile purchase journeys. 
Button
 Its Dynamic Decisioning product is more specifically aimed at retailer affiliate/creator-sourced traffic and claims to route each tap to the destination most likely to convert, including app-first journeys. 
Button

Worth it when:
You have significant mobile traffic, an app, or app-to-web leakage.
You already work with publishers, creators, cashback/loyalty partners, or major affiliate networks.
You care about conversion lift, attribution quality, deep linking, and incremental revenue—not just affiliate link generation.
You are large enough to justify a likely sales-led/enterprise buying process, since public self-serve pricing was not clearly available in the sources I found.

Probably not worth it when:
You are a small ecommerce brand launching your first affiliate program.
You mainly need affiliate recruitment, coupon links, basic attribution, payouts, and Shopify/WooCommerce integration.
You want transparent monthly pricing before talking to sales.
You do not have much mobile commerce volume or app-driven traffic.

Bottom line: Button looks best as an optimization layer and affiliate/creator commerce infrastructure for medium-to-large businesses, especially mobile-heavy retailers and publishers. For a small or early affiliate program, tools like impact.com, Refersion, Tapfiliate, UpPromote, Rewardful, or similar affiliate management platforms may be simpler and easier to evaluate. impact.com, for example, explicitly presents itself as an all-in-one platform for affiliate recruiting, payouts, reporting, and partner management. 
impact.com

Sources used:
https://www.usebutton.com/

https://www.usebutton.com/full-service-network

https://www.usebutton.com/dynamic-decisioning

https://impact.com/affiliate-marketing/"
Is Button legitimate?,Thinking
Is Button a trustworthy company?,"Yes — Button appears to be a legitimate and generally trustworthy company, not a scam. It has an established business presence in mobile commerce, affiliate/creator commerce, deep linking, and retail media. Its own site describes it as working with major brands to improve mobile marketing and ad performance, and it operates a “Full Service Network” for affiliate and creator commerce. 
Button
+1

The strongest trust signals I found are:

Real company with institutional backing: Button announced a strategic growth investment from PSG in June 2025, with existing investors listed as Redpoint Ventures, Norwest Venture Partners, and Icon Ventures. That does not guarantee quality, but it is a meaningful legitimacy signal. 
psgequity.com
+1

Recognized business profile: PitchBook describes Button as a developer of a mobile commerce platform for customer acquisition, engagement, and monetization. 
PitchBook

Clear B2B positioning: Button is not presenting itself like a get-rich-quick affiliate tool. It appears positioned as an enterprise/mobile commerce platform for brands, retailers, publishers, and creators. 
Button
+1

That said, “trustworthy” depends on what you need from them. I would treat Button as legitimate, but still do diligence before signing a contract: ask for pricing transparency, attribution rules, payout terms, cancellation terms, data ownership, tracking methodology, and references from companies similar to yours.

One caution: affiliate marketing attribution has become a more contentious space recently, especially around “last-click” attribution and commission displacement by shopping/coupon tools. Those broader issues are not specific proof against Button, but they are worth asking about directly if you are evaluating them for affiliate or creator commerce. 
Business Insider
+2
The Washington Post
+2

Bottom line: Button looks like a real, venture-backed B2B company with credible market presence. I would not call it suspicious based on what I found, but I would verify contract terms and attribution mechanics carefully before committing.

Sources used:
https://www.usebutton.com/

https://www.usebutton.com/full-service-network

https://psgequity.com/news/button-secures-strategic-growth-investment-from-psg

https://secure.businesswire.com/news/home/20250616945055/en/Button-Secures-Strategic-Growth-Investment-from-PSG

https://pitchbook.com/profiles/company/63693-37

https://www.businessinsider.com/influencers-sue-capital-one-shopping-browser-extension-affiliate-payments-2025-1

https://www.washingtonpost.com/business/2025/05/16/honey-coupons-paypal-creators-controversy/

https://www.wsj.com/articles/creators-insist-coupon-browser-extensions-are-stealing-their-money-will-the-courts-agree-60079a1f"
How long has Button been around?,Thinking
Who founded Button?,"Button was founded by Michael Jaconi, Chris Maddern, Mike Dudas, Siddhartha Dabral, Stephen Milbank, and Tanner Hackett. Most sources list the founding year as 2014, though PrivCo lists 2013. 
Tracxn
+2
PrivCo
+2

Sources used:
https://tracxn.com/d/companies/button/__XVH3wS1CMICt-WSn5jt7vPEdQu9HCfVjIP_wzMJp9vA

https://www.privco.com/company/button-inc

https://www.builtinnyc.com/articles/mobile-deep-linking-startup-button-raises-series"
